x_m,radius_m
-0.08373950829098967,0.04898979485566356
-0.08289817096839468,0.04898979485566356
-0.0820568336457997,0.04898979485566356
-0.08121549632320471,0.04898979485566356
-0.08037415900060974,0.04898979485566356
-0.07953282167801475,0.04898979485566356
-0.07869148435541977,0.04898979485566356
-0.07785014703282478,0.04898979485566356
-0.0770088097102298,0.04898979485566356
-0.07616747238763481,0.04898979485566356
-0.07532613506503982,0.04898979485566356
-0.07448479774244485,0.04898979485566356
-0.07364346041984986,0.04898979485566356
-0.07280212309725488,0.04898979485566356
-0.07196078577465989,0.04898979485566356
-0.07111944845206492,0.04898979485566356
-0.07027811112946993,0.04898979485566356
-0.06943677380687494,0.04898979485566356
-0.06859543648427996,0.04898979485566356
-0.06775409916168497,0.04898979485566356
-0.06691276183909,0.04898979485566356
-0.066071424516495,0.04898979485566356
-0.06523008719390003,0.04898979485566356
-0.06438874987130504,0.04898979485566356
-0.06354741254871005,0.04898979485566356
-0.06270607522611507,0.04898979485566356
-0.06186473790352009,0.04898979485566356
-0.061023400580925105,0.04898979485566356
-0.060182063258330115,0.04898979485566356
-0.05934072593573514,0.04898979485566356
-0.05849938861314015,0.04898979485566356
-0.057658051290545166,0.04898979485566356
-0.05681671396795018,0.04898979485566356
-0.0559753766453552,0.04898979485566356
-0.05513403932276022,0.04898979485566356
-0.05429270200016523,0.04898979485566356
-0.05345136467757025,0.04898979485566356
-0.05261002735497526,0.04898979485566356
-0.05176869003238028,0.04898979485566356
-0.050927352709785295,0.04898979485566356
-0.05037632011539371,0.048979670208044515
-0.04982603138911477,0.04894930993298597
-0.049277229394874104,0.048898755015432796
-0.04873065498957897,0.04882807370214842
-0.04818704602299619,0.04873736140958488
-0.047647136341689655,0.04862674059507509
-0.04711165479836195,0.048496360591521216
-0.04658132426793743,0.048346397405802266
-0.04605686067171504,0.04817705348117308
-0.04553897201090824,0.04798855742397541
-0.045028357410876546,0.047781163695030174
-0.04452570617733924,0.04755515226612722
-0.04403169686584496,0.04731082824207662
-0.043546996365753626,0.047048521448831496
-0.043072258999967125,0.046768585988238465
-0.04260812564162417,0.04647139976001681
-0.042155222848951596,0.04615736395161159
-0.04171416201944028,0.04582690249660946
-0.041285538564487204,0.04548046150244823
-0.04072138701900282,0.04500708214870419
-0.04015723547351843,0.04453370279496015
-0.03959308392803405,0.044060323441216104
-0.03902893238254966,0.04358694408747207
-0.038464780837065275,0.04311356473372803
-0.03790062929158089,0.042640185379983986
-0.037336477746096504,0.04216680602623994
-0.03677232620061212,0.041693426672495905
-0.03620817465512773,0.04122004731875187
-0.03564402310964335,0.040746667965007824
-0.03507987156415897,0.04027328861126379
-0.034515720018674576,0.03979990925751974
-0.0339515684731902,0.039326529903775706
-0.03338741692770581,0.03885315055003167
-0.032823265382221425,0.038379771196287625
-0.03225911383673704,0.03790639184254359
-0.031694962291252654,0.037433012488799544
-0.03113081074576827,0.03695963313505551
-0.030566659200283883,0.03648625378131146
-0.030002507654799497,0.036012874427567426
-0.02943835610931511,0.03553949507382338
-0.028874204563830726,0.035066115720079345
-0.02831005301834634,0.0345927363663353
-0.027745901472861954,0.034119357012591264
-0.02718174992737757,0.03364597765884722
-0.026617598381893183,0.03317259830510318
-0.026053446836408797,0.03269921895135914
-0.025489295290924415,0.0322258395976151
-0.02492514374544003,0.031752460243871065
-0.024360992199955644,0.03127908089012702
-0.023796840654471258,0.030805701536382984
-0.023232689108986872,0.03033232218263894
-0.022668537563502487,0.029858942828894904
-0.0221043860180181,0.02938556347515086
-0.021540234472533715,0.02891218412140682
-0.02097608292704933,0.02843880476766278
-0.020411931381564944,0.027965425413918738
-0.019847779836080562,0.0274920460601747
-0.019283628290596176,0.02701866670643066
-0.018724852953161886,0.026561145892291055
-0.018155226455812953,0.026117208028830687
-0.017575078900378734,0.025687110380593136
-0.016984746485702234,0.025271102191637702
-0.016384571312810906,0.024869424541101057
-0.01577490118666719,0.02448231020349048
-0.015156089414613496,0.024109983513789707
-0.014528494601628585,0.023752660237455512
-0.013892480442513924,0.023410547445380375
-0.013248415511130459,0.023083843393893737
-0.012596673046807937,0.02277273740987129
-0.011937630738050571,0.022477409781018972
-0.011271670503664385,0.022198031651395216
-0.01059917827143307,0.02193476492223197
-0.009920543754470611,0.021687762158112012
-0.009236160225380296,0.021457166498556893
-0.008546424288350998,0.021243111575076763
-0.007851735649322742,0.02104572143373014
-0.007152496884354835,0.02086511046323851
-0.006449113206330723,0.0207013833286974
-0.005741992230134786,0.02055463491092237
-0.005031543736437178,0.020424950251465006
-0.004318179434223574,0.02031240450333088
-0.0036023127222074417,0.020217062887427934
-0.0028843584492631146,0.0201389806547706
-0.002164732674018484,0.020078203054461508
-0.001443852423746624,0.020034765307469372
-0.0007221354526961061,0.020008692586218263
0.0,0.02
0.00016091949302683473,0.020001694892401587
0.0003217675878269683,0.020006778817601052
0.000482472917852315,0.02001524951991614
0.0006429641798979657,0.020027103240988477
0.0008031701657386417,0.020042334721451113
0.0009630197937230107,0.020060937203262023
0.0011224421403118405,0.020082902432702606
0.001281366471546001,0.020108220664039753
